source_id,hostname,access_mode,automated_access_allowed,access_policy_status,access_policy_url,access_policy_checked_at,content_use_status,attribution_required,preferred_access_method,preferred_access_url,change_signal_method,notes
src_tw_fsc_law_portal,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_annual_report_rules_fl007032,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=FL007032,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_order_11403851756,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=GL004194,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_order_11403851755,www.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://www.fsc.gov.tw/ch/home.jsp?dataserno=202511120001&dtable=NewsLaw&id=128&mcustomize=lawnew_view.jsp&parentpath=0%2C3,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_sfb_ifrs_download_area,ifrs.sfb.gov.tw,MANUAL_REFERENCE,false,RESTRICTED_AUTOMATION,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://ifrs.sfb.gov.tw/ifrs/index.cfm,MANUAL_ADMIN_SIGNAL,Primary Taiwan recognised-version locus. Prior HTTP 403 and unclear automation ToS → no scheduled fetch. Admin verifies manually; alternate FSC order may provide early warning only.
src_tw_order_11402739247_fi,www.banking.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://www.banking.gov.tw/ch/home.jsp?dataserno=202512160003&id=579&mcustomize=lawnew_view.jsp&parentpath=0%2C525,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_bank_annual_report_fl006611,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=FL006611,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_fhc_annual_report_fl006626,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=FL006626,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_bills_annual_report_fl006628,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=FL006628,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
src_tw_securities_fin_report_fl007040,law.fsc.gov.tw,MANUAL_REFERENCE,false,TERMS_UNCLEAR,,2026-08-12,METADATA_ONLY,true,MANUAL_REFERENCE,https://law.fsc.gov.tw/LawContent.aspx?id=FL007040,MANUAL_ADMIN_SIGNAL,Public page is not treated as crawler-authorised. No explicit automated-access basis documented; default deny. Remains official reference for manual/admin verification.
